"ProteinID","C1_1","C1_2","C2_1","C2_2","C3_1","C3_2","C4_1","C4_2","Log2(Int) C1_1","Log2(Int) C1_2","Log2(Int) C2_1","Log2(Int) C2_2","Log2(Int) C3_1","Log2(Int) C3_2","Log2(Int) C4_1","Log2(Int) C4_2","Mean intensity C1","Mean intensity C2","Mean intensity C3","Mean intensity C4","Condition_1_SD","Condition_2_SD","Condition_3_SD","Condition_4_SD","Condition_1_CV","Condition_2_CV","Condition_3_CV","Condition_4_CV","qValue C2","qValue C3","qValue C4","Log2 intensity C1","Log2 intensity C2","Log2 intensity C3","Log2 intensity C4","Z-Score C1","Z-Score C2","Z-Score C3","Z-Score C4","Ratio C2/C1","Ratio C3/C1","Ratio C4/C1","Fold change C2/C1","Fold change C3/C1","Fold change C4/C1","Log2(ratio) C2/C1","Log2(ratio) C3/C1","Log2(ratio) C4/C1"
"Q9JM55",17000,18000,44000,42000,35000,31000,39000,39000,14.05,14.14,15.43,15.36,15.1,14.92,15.25,15.25,17500,43000,33000,39000,707,1410,2830,0,4.041,3.289,8.571,0,0.00451,0.00134,6e-05,14.095,15.392,15.01,15.251,-1.444,0.78,0.125,0.539,2.457,1.886,2.229,2.457,1.886,2.229,1.297,0.915,1.156
"P22893",23000,24000,84000,83000,61000,63000,43000,42000,14.49,14.55,16.36,16.34,15.9,15.94,15.39,15.36,23500,83500,62000,42500,707,707,1410,707,3.009,0.8468,2.281,1.664,0.00017,0.00039,3e-05,14.52,16.349,15.92,15.375,-1.294,1.025,0.48,-0.211,3.553,2.638,1.809,3.553,2.638,1.809,1.829,1.399,0.855
"E9PUF5",120000,110000,120000,120000,180000,170000,150000,160000,16.87,16.75,16.87,16.87,17.46,17.38,17.19,17.29,115000,120000,175000,155000,7070,0,7070,7070,6.149,0,4.041,4.562,0.69562,0.00264,0.00102,16.811,16.873,17.417,17.242,-0.942,-0.731,1.137,0.536,1.043,1.522,1.348,1.043,1.522,1.348,0.061,0.606,0.431
"P12023",18000,19000,19000,18000,37000,36000,33000,33000,14.14,14.21,14.21,14.14,15.18,15.14,15.01,15.01,18500,18500,36500,33000,707,707,707,0,3.822,3.822,1.937,0,1,0.00053,5e-05,14.175,14.175,15.156,15.01,-0.861,-0.861,0.998,0.723,1,1.973,1.784,1,1.973,1.784,0,0.98,0.835
"Q80ZU0",24000,21000,30000,26000,40000,36000,30000,30000,14.55,14.36,14.87,14.67,15.29,15.14,14.87,14.87,22500,28000,38000,30000,2120,2830,2830,0,9.428,10.1,7.443,0,0.38161,0.00662,0.00768,14.458,14.773,15.214,14.873,-1.193,-0.18,1.234,0.139,1.244,1.689,1.333,1.244,1.689,1.333,0.315,0.756,0.415
"Q60765",18000,18000,41000,47000,170000,140000,98000,1e+05,14.14,14.14,15.32,15.52,17.38,17.1,16.58,16.61,18000,44000,155000,99000,0,4240,21200,1410,0,9.642,13.69,1.428,0.02561,0.00048,3e-05,14.136,15.425,17.242,16.595,-1.253,-0.31,1.018,0.545,2.444,8.611,5.5,2.444,8.611,5.5,1.289,3.106,2.459
"F6Q8P7",73000,67000,89000,82000,110000,110000,92000,99000,16.16,16.03,16.44,16.32,16.75,16.75,16.49,16.6,70000,85500,110000,95500,4240,4950,0,4950,6.061,5.789,0,5.183,0.24983,0.00289,0.00131,16.095,16.384,16.747,16.543,-1.262,-0.213,1.108,0.367,1.221,1.571,1.364,1.221,1.571,1.364,0.288,0.652,0.448
"Q3TYW3",23000,24000,22000,23000,37000,33000,31000,31000,14.49,14.55,14.43,14.49,15.18,15.01,14.92,14.92,23500,22500,35000,31000,707,707,2830,0,3.009,3.143,8.081,0,0.70624,0.00352,0.00159,14.52,14.458,15.095,14.92,-0.738,-0.941,1.123,0.556,0.957,1.489,1.319,-1.045,1.489,1.319,-0.063,0.574,0.399
"P25322",12000,13000,15000,18000,69000,67000,46000,50000,13.55,13.67,13.87,14.14,16.07,16.03,15.49,15.61,12500,16500,68000,48000,707,2120,1410,2830,5.657,12.86,2.08,5.893,0.28375,0.00053,4e-05,13.61,14.01,16.053,15.551,-1.014,-0.675,1.057,0.631,1.32,5.44,3.84,1.32,5.44,3.84,0.401,2.444,1.941
"P30280",15000,14000,20000,18000,1e+05,90000,80000,74000,13.87,13.77,14.29,14.14,16.61,16.46,16.29,16.18,14500,19000,95000,77000,707,1410,7070,4240,4.877,7.443,7.443,5.51,0.22044,0.00039,3e-05,13.824,14.214,16.536,16.233,-0.998,-0.715,0.967,0.747,1.31,6.552,5.31,1.31,6.552,5.31,0.39,2.712,2.409
"P27548",49000,50000,150000,130000,320000,290000,170000,170000,15.58,15.61,17.19,16.99,18.29,18.15,17.38,17.38,49500,140000,305000,170000,707,14100,21200,0,1.428,10.1,6.955,0,0.00474,0.00039,4e-05,15.595,17.095,18.218,17.375,-1.35,0.022,1.049,0.278,2.828,6.162,3.434,2.828,6.162,3.434,1.5,2.623,1.78
"Q04735",48000,44000,38000,40000,75000,65000,65000,67000,15.55,15.43,15.21,15.29,16.19,15.99,15.99,16.03,46000,39000,70000,66000,2830,1410,7070,1410,6.149,3.626,10.1,2.143,0.42317,0.00701,0.00167,15.489,15.251,16.095,16.01,-0.545,-1.13,0.942,0.734,0.848,1.522,1.435,-1.179,1.522,1.435,-0.238,0.606,0.521
"Q8K0D0",93000,88000,82000,95000,160000,140000,140000,150000,16.5,16.43,16.32,16.54,17.29,17.1,17.1,17.19,90500,88500,150000,145000,3540,9190,14100,7070,3.907,10.39,9.428,4.877,0.93223,0.00705,0.00127,16.466,16.433,17.195,17.146,-0.826,-0.903,0.923,0.806,0.978,1.657,1.602,-1.022,1.657,1.602,-0.032,0.729,0.68
"Q9QYI6",15000,15000,20000,18000,27000,24000,20000,21000,13.87,13.87,14.29,14.14,14.72,14.55,14.29,14.36,15000,19000,25500,20500,0,1410,2120,707,0,7.443,8.319,3.449,0.24338,0.00288,0.00224,13.873,14.214,14.638,14.323,-1.233,-0.153,1.191,0.194,1.267,1.7,1.367,1.267,1.7,1.367,0.341,0.766,0.451
"Q05922",13000,13000,30000,41000,59000,44000,39000,39000,13.67,13.67,14.87,15.32,15.85,15.43,15.25,15.25,13000,35500,51500,39000,0,7780,10600,0,0,21.91,20.6,0,0.07639,0.00264,0.00063,13.666,15.116,15.652,15.251,-1.447,0.224,0.843,0.38,2.731,3.962,3,2.731,3.962,3,1.449,1.986,1.585
"Q1HL35",18000,19000,23000,27000,49000,45000,46000,47000,14.14,14.21,14.49,14.72,15.58,15.46,15.49,15.52,18500,25000,47000,46500,707,2830,2830,707,3.822,11.31,6.018,1.521,0.20573,0.0011,9e-05,14.175,14.61,15.52,15.505,-1.159,-0.511,0.847,0.824,1.351,2.541,2.514,1.351,2.541,2.514,0.434,1.345,1.33
"P08152",8300,10000,12000,22000,27000,27000,26000,27000,13.02,13.29,13.55,14.43,14.72,14.72,14.67,14.72,9150,17000,27000,26500,1200,7070,0,707,13.14,41.59,0,2.668,0.41119,0.01661,0.00292,13.16,14.053,14.721,14.694,-1.361,-0.141,0.769,0.733,1.858,2.951,2.896,1.858,2.951,2.896,0.894,1.561,1.534
"Q8R4Z4",32000,33000,41000,37000,57000,52000,42000,41000,14.97,15.01,15.32,15.18,15.8,15.67,15.36,15.32,32500,39000,54500,41500,707,2830,3540,707,2.176,7.252,6.487,1.704,0.29124,0.00232,0.0034,14.988,15.251,15.734,15.341,-1.102,-0.25,1.312,0.04,1.2,1.677,1.277,1.2,1.677,1.277,0.263,0.746,0.353
"P01101",24000,26000,50000,65000,75000,69000,50000,54000,14.55,14.67,15.61,15.99,16.19,16.07,15.61,15.72,25000,57500,72000,52000,1410,10600,4240,2830,5.657,18.45,5.893,5.439,0.04825,0.0022,0.00075,14.61,15.811,16.136,15.666,-1.432,0.387,0.878,0.167,2.3,2.88,2.08,2.3,2.88,2.08,1.202,1.526,1.057
"P47930",25000,26000,53000,66000,150000,140000,94000,97000,14.61,14.67,15.69,16.01,17.19,17.1,16.52,16.57,25500,59500,145000,95500,707,9190,7070,2120,2.773,15.45,4.877,2.221,0.02561,0.00053,5e-05,14.638,15.861,17.146,16.543,-1.309,-0.173,1.021,0.461,2.333,5.686,3.745,2.333,5.686,3.745,1.222,2.507,1.905
"Q920B0",7800,9000,8500,9000,18000,19000,15000,16000,12.93,13.14,13.05,13.14,14.14,14.21,13.87,13.97,8400,8750,18500,15500,849,354,707,707,10.1,4.041,3.822,4.562,0.78199,0.00126,0.00025,13.036,13.095,14.175,13.92,-0.902,-0.8,1.072,0.63,1.042,2.202,1.845,1.042,2.202,1.845,0.059,1.139,0.884
"Q8C0V9",9700,11000,12000,9700,22000,26000,20000,20000,13.24,13.43,13.55,13.24,14.43,14.67,14.29,14.29,10350,10850,24000,20000,919,1630,2830,0,8.882,14.99,11.79,0,0.88917,0.00375,0.00112,13.337,13.405,14.551,14.288,-0.907,-0.796,1.066,0.638,1.048,2.319,1.932,1.048,2.319,1.932,0.068,1.214,0.95
"P29391",39000,43000,46000,45000,75000,66000,68000,71000,15.25,15.39,15.49,15.46,16.19,16.01,16.05,16.12,41000,45500,70500,69500,2830,707,6360,2120,6.899,1.554,9.027,3.052,0.56643,0.00284,0.00035,15.323,15.474,16.105,16.085,-1.041,-0.671,0.881,0.831,1.11,1.72,1.695,1.11,1.72,1.695,0.151,0.782,0.761
"Q05915",25000,25000,36000,37000,74000,63000,65000,65000,14.61,14.61,15.14,15.18,16.18,15.94,15.99,15.99,25000,36500,68500,65000,0,707,7780,0,0,1.937,11.35,0,0.08662,0.00069,5e-05,14.61,15.156,16.064,15.988,-1.211,-0.428,0.874,0.765,1.46,2.74,2.6,1.46,2.74,2.6,0.546,1.454,1.379
"Q9JJA9",2000,2400,2400,3100,9900,7500,7000,6800,10.97,11.23,11.23,11.6,13.27,12.87,12.77,12.73,2200,2750,8700,6900,283,495,1700,141,12.86,18,19.51,2.05,0.6083,0.00258,5e-04,11.103,11.425,13.087,12.752,-1.015,-0.684,1.021,0.678,1.25,3.955,3.136,1.25,3.955,3.136,0.322,1.984,1.649
"Q9QZR5",12000,12000,10000,8800,19000,20000,17000,18000,13.55,13.55,13.29,13.1,14.21,14.29,14.05,14.14,12000,9400,19500,17500,0,849,707,707,0,9.027,3.626,4.041,0.20423,0.00285,0.00081,13.551,13.198,14.251,14.095,-0.458,-1.181,0.98,0.659,0.783,1.625,1.458,-1.277,1.625,1.458,-0.353,0.7,0.544
"Q62293",150000,150000,170000,150000,240000,250000,230000,230000,17.19,17.19,17.38,17.19,17.87,17.93,17.81,17.81,150000,160000,245000,230000,0,14100,7070,0,0,8.839,2.886,0,0.63912,0.00227,0.00035,17.195,17.288,17.902,17.811,-0.986,-0.727,0.983,0.73,1.067,1.633,1.533,1.067,1.633,1.533,0.094,0.708,0.616
"P09450",54000,55000,1e+05,130000,150000,130000,120000,130000,15.72,15.75,16.61,16.99,17.19,16.99,16.87,16.99,54500,115000,140000,125000,707,21200,14100,7070,1.297,18.45,10.1,5.657,0.07303,0.00301,0.00056,15.734,16.811,17.095,16.932,-1.473,0.273,0.733,0.468,2.11,2.569,2.294,2.11,2.569,2.294,1.077,1.361,1.198
"Q5NCY0",39000,38000,43000,56000,190000,160000,130000,130000,15.25,15.21,15.39,15.77,17.54,17.29,16.99,16.99,38500,49500,175000,130000,707,9190,21200,0,1.837,18.57,12.12,0,0.46815,0.0011,0.00016,15.233,15.595,17.417,16.988,-1.017,-0.674,1.048,0.643,1.286,4.545,3.377,1.286,4.545,3.377,0.363,2.184,1.756
"O54791",18000,18000,25000,37000,54000,47000,52000,54000,14.14,14.14,14.61,15.18,15.72,15.52,15.67,15.72,18000,31000,50500,53000,0,8490,4950,1410,0,27.37,9.801,2.668,0.27671,0.00544,0.00062,14.136,14.92,15.624,15.694,-1.316,-0.238,0.729,0.825,1.722,2.806,2.944,1.722,2.806,2.944,0.784,1.489,1.558
"Q61532",18000,19000,17000,22000,32000,31000,27000,27000,14.14,14.21,14.05,14.43,14.97,14.92,14.72,14.72,18500,19500,31500,27000,707,3540,707,0,3.822,18.13,2.245,0,0.85941,0.01056,0.00546,14.175,14.251,14.943,14.721,-0.939,-0.734,1.137,0.536,1.054,1.703,1.459,1.054,1.703,1.459,0.076,0.768,0.545
"F6Q785",19000,17000,33000,30000,37000,35000,34000,31000,14.21,14.05,15.01,14.87,15.18,15.1,15.05,14.92,18000,31500,36000,32500,1410,2120,1410,2120,7.857,6.734,3.928,6.527,0.04132,0.00195,0.00031,14.136,14.943,15.136,14.988,-1.475,0.316,0.743,0.416,1.75,2,1.806,1.75,2,1.806,0.807,1,0.853
"P01108",19000,16000,34000,38000,70000,65000,59000,62000,14.21,13.97,15.05,15.21,16.1,15.99,15.85,15.92,17500,36000,67500,60500,2120,2830,3540,2120,12.12,7.857,5.238,3.506,0.03443,0.00069,6e-05,14.095,15.136,16.043,15.885,-1.343,-0.173,0.847,0.669,2.057,3.857,3.457,2.057,3.857,3.457,1.041,1.947,1.79
"Q9D659",120000,120000,120000,120000,180000,170000,150000,160000,16.87,16.87,16.87,16.87,17.46,17.38,17.19,17.29,120000,120000,175000,155000,0,0,7070,7070,0,0,4.041,4.562,1,0.00186,0.00065,16.873,16.873,17.417,17.242,-0.836,-0.836,1.156,0.515,1,1.458,1.292,1,1.458,1.292,0,0.544,0.37
"Q8R0W6",12000,11000,18000,17000,31000,28000,29000,27000,13.55,13.43,14.14,14.05,14.92,14.77,14.82,14.72,11500,17500,29500,28000,707,707,2120,1410,6.149,4.041,7.191,5.051,0.06863,0.00081,6e-05,13.489,14.095,14.848,14.773,-1.272,-0.323,0.856,0.738,1.522,2.565,2.435,1.522,2.565,2.435,0.606,1.359,1.284
"Q2TB02",17000,19000,34000,36000,52000,47000,43000,42000,14.05,14.21,15.05,15.14,15.67,15.52,15.39,15.36,18000,35000,49500,42500,1410,1410,3540,707,7.857,4.041,7.142,1.664,0.02157,0.00069,7e-05,14.136,15.095,15.595,15.375,-1.422,0.07,0.847,0.505,1.944,2.75,2.361,1.944,2.75,2.361,0.959,1.459,1.239
"Q9QZB6",28000,29000,38000,43000,79000,71000,66000,63000,14.77,14.82,15.21,15.39,16.27,16.12,16.01,15.94,28500,40500,75000,64500,707,3540,5660,2120,2.481,8.73,7.542,3.289,0.12887,0.00084,9e-05,14.799,15.306,16.195,15.977,-1.208,-0.413,0.981,0.64,1.421,2.632,2.263,1.421,2.632,2.263,0.507,1.396,1.178
"O35973",41000,40000,46000,45000,69000,64000,64000,66000,15.32,15.29,15.49,15.46,16.07,15.97,15.97,16.01,40500,45500,66500,65000,707,707,3540,1410,1.746,1.554,5.317,2.176,0.30229,0.00105,9e-05,15.306,15.474,16.021,15.988,-1.082,-0.618,0.895,0.804,1.123,1.642,1.605,1.123,1.642,1.605,0.167,0.715,0.683
"P06803",28000,29000,44000,37000,74000,69000,54000,57000,14.77,14.82,15.43,15.18,16.18,16.07,15.72,15.8,28500,40500,71500,55500,707,4950,3540,2120,2.481,12.22,4.945,3.822,0.17153,0.00119,0.00027,14.799,15.306,16.126,15.76,-1.217,-0.334,1.094,0.458,1.421,2.509,1.947,1.421,2.509,1.947,0.507,1.327,0.961
"Q8VHQ3",15000,15000,13000,19000,42000,39000,33000,34000,13.87,13.87,13.67,14.21,15.36,15.25,15.01,15.05,15000,16000,40500,33500,0,4240,2120,707,0,26.52,5.238,2.111,0.92148,0.00488,0.00139,13.873,13.966,15.306,15.032,-0.918,-0.791,1.042,0.667,1.067,2.7,2.233,1.067,2.7,2.233,0.094,1.433,1.159
"Q99MK9-2",50000,47000,48000,52000,80000,78000,67000,71000,15.61,15.52,15.55,15.67,16.29,16.25,16.03,16.12,48500,50000,79000,69000,2120,2830,1410,2830,4.374,5.657,1.79,4.099,0.78745,0.00186,0.00051,15.566,15.61,16.27,16.074,-0.905,-0.778,1.123,0.56,1.031,1.629,1.423,1.031,1.629,1.423,0.044,0.704,0.509
"Q3U2C5",17000,15000,20000,20000,36000,34000,26000,28000,14.05,13.87,14.29,14.29,15.14,15.05,14.67,14.77,16000,20000,35000,27000,1410,0,1410,1410,8.839,0,4.041,5.238,0.23897,0.00108,0.00029,13.966,14.288,15.095,14.721,-1.116,-0.465,1.17,0.412,1.25,2.188,1.688,1.25,2.188,1.688,0.322,1.13,0.755
"A2A7Q9",20000,19000,20000,22000,34000,33000,29000,29000,14.29,14.21,14.29,14.43,15.05,15.01,14.82,14.82,19500,21000,33500,29000,707,1410,707,0,3.626,6.734,2.111,0,0.57249,0.00123,0.00028,14.251,14.358,15.032,14.824,-0.981,-0.693,1.117,0.558,1.077,1.718,1.487,1.077,1.718,1.487,0.107,0.781,0.572
"O88667",29000,29000,36000,45000,59000,54000,41000,42000,14.82,14.82,15.14,15.46,15.85,15.72,15.32,15.36,29000,40500,56500,41500,0,6360,3540,707,0,15.71,6.258,1.704,0.25298,0.00407,0.00482,14.824,15.306,15.786,15.341,-1.247,-0.021,1.2,0.068,1.397,1.948,1.431,1.397,1.948,1.431,0.482,0.962,0.517
"Q60898",24000,26000,26000,26000,49000,45000,40000,39000,14.55,14.67,14.67,14.67,15.58,15.46,15.29,15.25,25000,26000,47000,39500,1410,0,2830,707,5.657,0,6.018,1.79,0.70624,0.00105,0.00021,14.61,14.666,15.52,15.27,-0.905,-0.779,1.121,0.563,1.04,1.88,1.58,1.04,1.88,1.58,0.057,0.911,0.66
"Q8BHK6",21000,22000,30000,31000,90000,77000,79000,73000,14.36,14.43,14.87,14.92,16.46,16.23,16.27,16.16,21500,30500,83500,76000,707,707,9190,4240,3.289,2.318,11.01,5.582,0.14804,0.00053,4e-05,14.392,14.897,16.349,16.214,-1.105,-0.585,0.915,0.775,1.419,3.884,3.535,1.419,3.884,3.535,0.505,1.958,1.822
"P13609",47000,47000,65000,60000,86000,85000,89000,86000,15.52,15.52,15.99,15.87,16.39,16.38,16.44,16.39,47000,62500,85500,87500,0,3540,707,2120,0,5.657,0.827,2.424,0.04774,0.00069,4e-05,15.52,15.932,16.384,16.417,-1.28,-0.31,0.756,0.834,1.33,1.819,1.862,1.33,1.819,1.862,0.411,0.863,0.897
"Q7TNL3",17000,19000,19000,18000,32000,27000,28000,27000,14.05,14.21,14.21,14.14,14.97,14.72,14.77,14.72,18000,18500,29500,27500,1410,707,3540,707,7.857,3.822,11.98,2.571,0.90819,0.00705,0.00172,14.136,14.175,14.848,14.747,-0.913,-0.807,0.995,0.724,1.028,1.639,1.528,1.028,1.639,1.528,0.04,0.713,0.612
"B2RWW0",22000,20000,60000,57000,110000,1e+05,61000,63000,14.43,14.29,15.87,15.8,16.75,16.61,15.9,15.94,21000,58500,105000,62000,1410,2120,7070,1410,6.734,3.626,6.734,2.281,0.00341,0.00039,4e-05,14.358,15.836,16.68,15.92,-1.381,0.142,1.011,0.228,2.786,5,2.952,2.786,5,2.952,1.478,2.322,1.562
"P0CAX8",24000,22000,52000,45000,71000,71000,45000,47000,14.55,14.43,15.67,15.46,16.12,16.12,15.46,15.52,23000,48500,71000,46000,1410,4950,0,1410,6.149,10.21,0,3.074,0.01816,0.00064,0.00016,14.489,15.566,16.116,15.489,-1.367,0.223,1.034,0.11,2.109,3.087,2,2.109,3.087,2,1.077,1.626,1
"Q4JK59",47000,34000,60000,51000,76000,69000,67000,71000,15.52,15.05,15.87,15.64,16.21,16.07,16.03,16.12,40500,55500,72500,69000,9190,6360,4950,2830,22.7,11.47,6.827,4.099,0.42608,0.02216,0.00514,15.306,15.76,16.146,16.074,-1.349,-0.16,0.848,0.661,1.37,1.79,1.704,1.37,1.79,1.704,0.454,0.84,0.769
"P70284",16000,15000,19000,19000,30000,28000,23000,23000,13.97,13.87,14.21,14.21,14.87,14.77,14.49,14.49,15500,19000,29000,23000,707,0,1410,0,4.562,0,4.877,0,0.13662,0.00069,0.00018,13.92,14.214,14.824,14.489,-1.145,-0.383,1.197,0.331,1.226,1.871,1.484,1.226,1.871,1.484,0.294,0.904,0.569
"Q8C0Y1",16000,16000,20000,20000,30000,27000,24000,23000,13.97,13.97,14.29,14.29,14.87,14.72,14.55,14.49,16000,20000,28500,23500,0,0,2120,707,0,0,7.443,3.009,0.15765,0.00115,0.00033,13.966,14.288,14.799,14.52,-1.21,-0.298,1.148,0.36,1.25,1.781,1.469,1.25,1.781,1.469,0.322,0.833,0.555
"Q61333",10000,10000,9300,9000,14000,15000,14000,12000,13.29,13.29,13.18,13.14,13.77,13.87,13.77,13.55,10000,9150,14500,13000,0,212,707,1410,0,2.318,4.877,10.88,0.62442,0.00916,0.00493,13.288,13.16,13.824,13.666,-0.63,-1.04,1.087,0.583,0.915,1.45,1.3,-1.093,1.45,1.3,-0.128,0.536,0.379
"P02340",13000,11000,10000,14000,20000,20000,20000,20000,13.67,13.43,13.29,13.77,14.29,14.29,14.29,14.29,12000,12000,20000,20000,1410,2830,0,0,11.79,23.57,0,0,1,0.03256,0.0061,13.551,13.551,14.288,14.288,-0.866,-0.866,0.866,0.866,1,1.667,1.667,1,1.667,1.667,0,0.737,0.737
"Q8C0R0",18000,20000,20000,19000,33000,30000,31000,31000,14.14,14.29,14.29,14.21,15.01,14.87,14.92,14.92,19000,19500,31500,31000,1410,707,2120,0,7.443,3.626,6.734,0,0.85556,0.00264,0.00033,14.214,14.251,14.943,14.92,-0.912,-0.819,0.894,0.837,1.026,1.658,1.632,1.026,1.658,1.632,0.037,0.729,0.707
"P23950",22000,22000,58000,52000,180000,140000,65000,74000,14.43,14.43,15.82,15.67,17.46,17.1,15.99,16.18,22000,55000,160000,69500,0,4240,28300,6360,0,7.714,17.68,9.157,0.04132,0.00056,0.00017,14.425,15.747,17.288,16.085,-1.241,-0.118,1.191,0.169,2.5,7.273,3.159,2.5,7.273,3.159,1.322,2.863,1.659
"G3UW58",25000,24000,24000,24000,54000,48000,86000,88000,14.61,14.55,14.55,14.55,15.72,15.55,16.39,16.43,24500,24000,51000,87000,707,0,4240,1410,2.886,0,8.319,1.626,0.88144,0.00084,3e-05,14.58,14.551,15.638,16.409,-0.795,-0.828,0.382,1.24,0.98,2.082,3.551,-1.02,2.082,3.551,-0.029,1.058,1.828
"Q6PGK3",20000,21000,22000,20000,26000,26000,35000,34000,14.29,14.36,14.43,14.29,14.67,14.67,15.1,15.05,20500,21000,26000,34500,707,1410,0,707,3.449,6.734,0,2.05,0.83801,0.01105,0.00011,14.323,14.358,14.666,15.074,-0.81,-0.71,0.174,1.345,1.024,1.268,1.683,1.024,1.268,1.683,0.034,0.343,0.751
"D3YZ60",30000,29000,31000,28000,34000,32000,60000,61000,14.87,14.82,14.92,14.77,15.05,14.97,15.87,15.9,29500,29500,33000,60500,707,2120,1410,707,2.397,7.191,4.285,1.169,1,0.12226,6e-05,14.848,14.848,15.01,15.885,-0.603,-0.603,-0.277,1.482,1,1.119,2.051,1,1.119,2.051,0,0.162,1.036
"E9QJR0",24000,22000,15000,13000,29000,28000,56000,63000,14.55,14.43,13.87,13.67,14.82,14.77,15.77,15.94,23000,14000,28500,59500,1410,1410,707,4950,6.149,10.1,2.481,8.319,0.07497,0.07723,1e-04,14.489,13.773,14.799,15.861,-0.278,-1.104,0.079,1.303,0.609,1.239,2.587,-1.642,1.239,2.587,-0.715,0.309,1.371
